cluster,size,top_features
0,181,"[('X1', 0.183435478903931), ('X2', 0.17934962122626244), ('N4', 0.027441769457875093), ('N1', 0.017365879999639407), ('X6', 0.013546061462799392), ('X5', 0.013057474217149315), ('N2', 0.012192092536425678), ('X4', 0.011155755570086487)]"
1,89,"[('X2', 0.24527681955343658), ('X1', 0.06458503881445699), ('N4', 0.03058650686567925), ('N1', 0.017519459915104108), ('X6', 0.01330549336134886), ('N2', 0.013080145235885172), ('X5', 0.011011971700551354), ('X4', 0.00992581992255131)]"
2,129,"[('X1', 0.2149488079652791), ('X2', 0.08380828727820099), ('N4', 0.024179642054317538), ('N1', 0.02069539014399531), ('N2', 0.014105759240555071), ('X5', 0.013171584606712756), ('X6', 0.010921895224836083), ('N3', 0.010155077390122301)]"
